position,person,personID,start,end
President,Luis Ángel González Macchi,Q438594,1999-03-29,2003-08-15
President,Nicanor Duarte,Q222652,2003-08-15,2008-08-14
President,Fernando Lugo,Q151879,2008-08-15,2012-06-22
President,Federico Franco,Q57496,2012-06-22,2013-08-15
President,Horacio Cartes,Q5901842,2013-08-15,2018-08-15
President,Mario Abdo Benítez,Q48136013,2018-08-15,
Vice President,Luis Castiglioni,Q3493305,2003-08-15,2007-10-15
Vice President,Hugo Velázquez Moreno,Q52138237,2018-08-15,
Minister of Agriculture and Livestock,Moses Bertoni,Q110193990,2020-09-01,
Minister of Children and Adolescents,Teresa Martinez Acosta,Q110194082,2018-08-15,
Minister of Education and Sciences,Juan Manuel Brunetti,Q110194073,2021-03-09,
Minister of the Environment and Sustainable Development,Cesar Ariel Oviedo Verdún,Q110194076,2018-08-29,
Minister of Finance,Oscar Llamosas Diaz,Q105046995,2020-10-29,
Minister of Foreign Affairs,Eladio Loizaga,Q14627668,2013-08-15,2018-08-15
Minister of Foreign Affairs,Luis Castiglioni,Q3493305,2018-08-15,2019-07-29
Minister of Foreign Affairs,Euclides Acevedo,Q94334903,2021-01-22,
Minister of Health and Social Affairs,Julio Borba,Q105954859,2021-03-05,
Minister of Industry and Commerce,Luis Castiglioni,Q3493305,2020-11-11,
Minister of Information and Communication Technologies,Fernando Saguier,Q110194080,2021-03-10,
Minister of the Interior,Arnaldo Giuzzio,Q105046318,2021-01-22,2022-02-22
Minister of the Interior,Federico González,Q111200944,2022-02-22,
Minister of Justice,Cecilia Perez,Q110193987,2019-11-13,
"Minister of Labour, Employment and Social Security",Carla Bacigalupo,Q84563785,2018-08-15,
Minister of National Defence,Bernardino Soto Estigarribia,Q14661202,2018-08-15,
Minister of Public Works and Communications,Arnoldo Wiens Durksen,Q44074470,2018-08-15,
Minister of the Social Cabinet,Hugo Cáceres,Q97182373,2018-08-15,
Minister of Social Development,Mario Varela,Q84564460,2018-08-15,
"Minister of Urbanism, Housing and Habitat",Carlos Alberto Pereira,Q110194078,2020-11-02,
Minister of Women,Celina Esther Lezcano,Q106444113,2021-03-09,
Attorney General,Sandra Quiñonez,Q55091448,2018-03-08,
Speaker of the Chamber of Deputies,Pedro Lorenzo Alliana Rodríguez,Q51885479,2019-07-01,
President of the Senate,Oscar Rubén Salomón Fernández,Q110194186,2020-07-01,
President of the Central Bank,Germán Rojas Irigoyen,Q14657774,2007,2008
President of the Central Bank,Carlos Fernández Valdovinos,Q26213978,2013-10,2018-08
President of the Central Bank,José Cantero Sienra,Q110194351,2018-09,
ambassador to Cuba,Bernardino Cano Radil,Q108529212,2015,2021
