position,person,personID,start,end
President,Mario Abdo Benítez,Q48136013,2018-08-15,
Vice President,Hugo Velázquez Moreno,Q52138237,2018-08-15,
Minister of Agriculture and Livestock,Moses Bertoni,Q110193990,2020-09-01,
Minister of Children and Adolescents,Teresa Martinez Acosta,Q110194082,2018-08-15,
Minister of Education and Sciences,Juan Manuel Brunetti,Q110194073,2021-03-09,
Minister of the Environment and Sustainable Development,Cesar Ariel Oviedo Verdún,Q110194076,2018-08-29,
Minister of Finance,Oscar Llamosas Diaz,Q105046995,2020-10-29,
Minister of Foreign Affairs,Euclides Acevedo,Q94334903,2021-01-22,
Minister of Health and Social Affairs,Julio Borba,Q105954859,2021-03-05,
Minister of Industry and Commerce,Luis Castiglioni,Q3493305,2020-11-11,
Minister of Information and Communication Technologies,Fernando Saguier,Q110194080,2021-03-10,
Minister of the Interior,Federico González,Q111200944,2022-02-22,
Minister of Justice,Cecilia Perez,Q110193987,2019-11-13,
"Minister of Labour, Employment and Social Security",Carla Bacigalupo,Q84563785,2018-08-15,
Minister of National Defence,Bernardino Soto Estigarribia,Q14661202,2018-08-15,
Minister of Public Works and Communications,Arnoldo Wiens Durksen,Q44074470,2018-08-15,
Minister of the Social Cabinet,Hugo Cáceres,Q97182373,2018-08-15,
Minister of Social Development,Mario Varela,Q84564460,2018-08-15,
"Minister of Urbanism, Housing and Habitat",Carlos Alberto Pereira,Q110194078,2020-11-02,
Minister of Women,Celina Esther Lezcano,Q106444113,2021-03-09,
Attorney General,Sandra Quiñonez,Q55091448,2018-03-08,
Speaker of the Chamber of Deputies,Pedro Lorenzo Alliana Rodríguez,Q51885479,2019-07-01,
President of the Senate,Oscar Rubén Salomón Fernández,Q110194186,2020-07-01,
President of the Central Bank,José Cantero Sienra,Q110194351,2018-09,
